date,meantemp,humidity,wind_speed,meanpressure
1/1/2015,14.75,72,0.925,1017.5
1/2/2015,14.875,96.625,3.0125,1017.875
1/3/2015,15.125,92,0.925,1017.375
1/4/2015,14.125,78.75,9.5125,1019.625
1/5/2015,14,69.375,15.05,1016
1/6/2015,12,79.875,4.4,1015.5
1/7/2015,9.625,86,3.9375,1016.625
1/8/2015,10,87.875,3.4875,1019.125
1/9/2015,10.625,80.625,1.625,1020.125
1/10/2015,11.125,73.125,4.4125,1018.875
1/11/2015,11,80.75,4.8625,1019.125
1/12/2015,10.625,79.5,0.925,1019.5
1/13/2015,12.25,77.875,4.875,1017.125
1/14/2015,12,82.25,5.1,1017.5
1/15/2015,12.375,79.125,0.925,1019.375
1/16/2015,13,78.125,4.6375,1019.25
1/17/2015,13.5,76.625,1.8625,1019.25
1/18/2015,13,73.875,2.55,1018.75
1/19/2015,13.75,78,1.85,1018.875
1/20/2015,13.375,74.375,7.1875,1020
1/21/2015,13.25,73.375,3.7,1021
1/22/2015,12.625,94.125,3.2375,1020.625
1/23/2015,14.625,85,1.1625,1020
1/24/2015,12.375,86.25,9.7375,1020.75
1/25/2015,13.25,77.75,4.1625,1020.375
1/26/2015,13.75,88.125,0.925,1019.875
1/27/2015,13.25,74.25,5.3375,1019.333333
1/28/2015,11.71428571,67,27.775,1018.25
1/29/2015,11.5,67.5,3.9375,1019.75
1/30/2015,12.75,56.125,12.0375,1020.375
1/31/2015,13.75,57.625,9.025,1017.875
2/1/2015,15,65.25,5.1,1017.75
2/2/2015,17.375,63.875,11.8125,1017.5
2/3/2015,16.75,71.25,7.175,1020.5
2/4/2015,14.625,81.125,9.25,1022
2/5/2015,14.625,62.875,7.4,1019.25
2/6/2015,15.125,62.625,3.0125,1019
2/7/2015,15.875,67.625,1.85,1017
2/8/2015,16.625,63.875,4.4125,1017.375
2/9/2015,16.875,63.5,5.55,1019.75
2/10/2015,15.75,64,4.625,1019.75
2/11/2015,16,66.625,1.85,1017.125
2/12/2015,15.5,69.625,6.025,1016.125
2/13/2015,17.25,59,6.725,1012.625
2/14/2015,19.375,63.125,4.1625,1009.625
2/15/2015,18.875,70.125,1.3875,1012.625
2/16/2015,20.625,71.25,10.425,1013.625
2/17/2015,21.14285714,72.57142857,5.028571429,1011.857143
2/18/2015,21.25,72.875,5.1,1011.75
2/19/2015,22.75,73.5,7.65,1012
2/20/2015,22.75,67.125,7.1875,1013.875
2/21/2015,21.875,63.5,11.3375,1014.125
2/22/2015,22.14285714,58.85714286,14.8125,1013.375
2/23/2015,21.5,74.375,3.025,1014.25
2/24/2015,22.875,72.375,6.0375,1010.625
2/25/2015,23.125,58.625,6.5,1008.5
2/26/2015,20,34.375,6.7125,1009.875
2/27/2015,19.25,43.125,5.8,1013
2/28/2015,21.25,45.5,6.95,1013
3/1/2015,17.375,92.75,14.8125,1011.125
3/2/2015,17.5,89.875,6.725,1012.5
3/3/2015,16.25,82.5,5.5625,1013.75
3/4/2015,16.75,69.25,6.7125,1014
3/5/2015,18.75,64,3.7,1015.75
3/6/2015,20,62.375,5.0875,1016.375
3/7/2015,18.375,80.375,4.175,1013.714286
3/8/2015,19.5,74.125,7.8875,1015.375
3/9/2015,18.125,54.25,12.2625,1021
3/10/2015,17.75,68.5,8.5625,1019.125
3/11/2015,18.25,69.875,6.025,1018.125
3/12/2015,20.5,63.375,5.325,1017
3/13/2015,21.375,65.25,4.175,1014.75
3/14/2015,21.5,64.625,7.875,1015.125
3/15/2015,17.625,89.125,11.575,1015.5
3/16/2015,19.85714286,81.85714286,8.5625,1017.375
3/17/2015,20.875,70.375,13.2,1015.875
3/18/2015,20.25,69.625,12.2625,1013.5
3/19/2015,21.125,66,5.3375,1014.875
3/20/2015,22.5,65.75,9.025,1014.875
3/21/2015,24.875,60.5,5.7875,1014.875
3/22/2015,25.125,64,10.2,1012
3/23/2015,24.75,65.75,7.6375,1010
3/24/2015,25.75,65.5,1.3875,1010.25
3/25/2015,26.625,65.625,2.55,1011.857143
3/26/2015,28.5,54.375,9.2625,1013
3/27/2015,27.375,51.375,7.65,1012
3/28/2015,27,53.625,3.7125,1009.625
3/29/2015,25,52.75,13.1875,1008.625
3/30/2015,23.5,66.25,14.8125,1010.375
3/31/2015,25.25,64.875,3.7,1010.142857
4/1/2015,26.42857143,59.71428571,6.7125,1007.5
4/2/2015,28.71428571,45.28571429,10.175,1004.625
4/3/2015,24.5,71.125,6.9625,1004.75
4/4/2015,21,77.5,1.3875,1005.25
4/5/2015,23.57142857,67.71428571,17.6,1007.75
4/6/2015,25,60.125,2.775,1007.75
4/7/2015,23.75,62.125,9.7375,1010.25
4/8/2015,25.625,50.375,6.7125,1012
4/9/2015,26,52.875,9.0375,1010.5
4/10/2015,27.125,52.25,6.25,1008.5
4/11/2015,28.25,44.875,8.1,1008.375
4/12/2015,24.375,63,5.325,1012.375
4/13/2015,24.75,70.875,6.95,1013.75
4/14/2015,26.25,62.75,3.0125,1012.75
4/15/2015,27.625,59.25,5.7875,1012.875
4/16/2015,25.25,58.25,8.1125,1013.875
4/17/2015,28.125,48.75,8.3375,1007.125
4/18/2015,30.125,44.5,5.5625,1002.375
4/19/2015,32.125,41,4.175,1003.875
4/20/2015,32.875,37.875,7.1875,1005.75
4/21/2015,31.75,28.5,11.1125,1005.625
4/22/2015,30.75,30.25,11.35,1003.125
4/23/2015,30.75,33,8.1,1004
4/24/2015,31.125,39.5,2.55,1004.375
4/25/2015,30.5,43.125,12.975,1005.875
4/26/2015,28.75,51.125,15.7375,1008
4/27/2015,30.125,53,17.5875,1006.75
4/28/2015,31,48.25,12.5125,1004.5
4/29/2015,31.25,47.25,9.025,1005
4/30/2015,32.625,44.75,15.05,1004
5/1/2015,31.25,43.5,5.3375,1005.875
